,Country,Target,Year,avg_prob_not_aligned,avg_prob_aligned,avg_prob_neutral_irrelevant,avg_confidence,count
269,Chile,CHINA,2002,0.015989492,0.09912253,0.884888,0.884888,1
270,Chile,CHINA,2010,0.023858188333333336,0.10890263866666666,0.8672391833333334,0.8672391833333334,3
271,Chile,EU,2002,0.0031310039500000004,0.05435209283333333,0.94251691,0.94251691,6
272,Chile,EU,2010,0.0010318712333333333,0.36355656566666666,0.6354115666666668,0.84698634,3
273,Chile,EU,2020,0.00152084446,0.6555197753333334,0.3429594026666667,0.9751632,3
274,Chile,NATO,2002,0.009546699416666667,0.106940121,0.8835131766666667,0.8835131766666667,6
275,Chile,NATO,2010,0.007947298,0.22534007,0.7667126,0.7667126,1
276,Chile,NATO,2020,0.0022306624900000002,0.384168058,0.6136012666666667,0.8851406533333334,3
277,Chile,RUSSIA,2002,0.016558457500000002,0.159856058,0.8235854866666666,0.8235854866666666,3
278,Chile,RUSSIA,2010,0.021190795333333335,0.07232691766666667,0.9064823,0.9064823,3
279,Chile,RUSSIA,2020,0.0032084418,0.88490727,0.11188427000000001,0.88490727,2
280,Chile,US,2002,0.03057879887222222,0.11355504716666667,0.8558661488888889,0.86058612,18
281,Chile,US,2010,0.002430162153125,0.222015903625,0.77555393475,0.861704375,16
282,Chile,US,2020,0.0008447709466666667,0.5823060466666666,0.41684921,0.7251593,3
283,China,CHINA,1995,0.023218375123076923,0.08758431581410256,0.8891973061538462,0.8891973061538462,78
284,China,CHINA,1998,0.021180938619444444,0.10555753985902777,0.8732615223611111,0.87501915,144
285,China,CHINA,2000,0.04698718520458015,0.10014821690076335,0.852864594351145,0.8616155820610687,131
286,China,CHINA,2002,0.023284204064335665,0.09135973531818181,0.8853560581118881,0.8876797706293705,143
287,China,CHINA,2004,0.02415193325390071,0.08200390138297872,0.893844165106383,0.8997928165248227,141
288,China,CHINA,2006,0.018647894304733726,0.08562012337278106,0.8957319824852071,0.8988805001183432,169
289,China,CHINA,2008,0.01687085685,0.0796942959632353,0.903434851764706,0.9061899213235295,136
290,China,CHINA,2010,0.01511989695962963,0.07497958564550265,0.9099005146560847,0.9099005146560847,189
291,China,CHINA,2013,0.019251554279347827,0.10139218946521739,0.8793562586956523,0.8793562586956523,92
292,China,CHINA,2015,0.02802643709545455,0.06793831162121211,0.9040352551515151,0.9040352551515151,66
293,China,CHINA,2019,0.019540928783009708,0.10921416768446603,0.8712449075728155,0.8859737314563108,206
294,China,EU,2008,0.0006067492,0.6557443,0.34364885,0.6557443,1
295,China,EU,2010,0.0019490259,0.4264810243333333,0.5715699233333332,0.7515429466666667,3
296,China,EU,2013,0.0006957420849999999,0.821887435,0.17741680999999998,0.821887435,2
297,China,EU,2019,0.00402300563,0.5096972845,0.48627968425,0.9578811825,4
298,China,NATO,2000,0.91946316,0.016393844,0.064143054,0.91946316,1
299,China,NATO,2010,0.00415510775,0.24619396600000001,0.749650895,0.749650895,2
300,China,NATO,2013,0.0014536331,0.63097346,0.3675729,0.63097346,1
301,China,NATO,2019,0.11877787050000001,0.0226677375,0.858554375,0.858554375,2
302,China,RUSSIA,1995,0.02273408623333333,0.37280536466666664,0.6044605576666667,0.8991714000000001,3
303,China,RUSSIA,1998,0.0413805279,0.4468844153,0.5117350700000001,0.742634079,10
304,China,RUSSIA,2000,0.013229568154545455,0.8013053009090908,0.18546514854545454,0.86506893,11
305,China,RUSSIA,2002,0.007049958239999999,0.6686668680000001,0.3242832097,0.822935255,10
306,China,RUSSIA,2004,0.00414241624,0.8158616540000001,0.179995943,0.8158616540000001,5
307,China,RUSSIA,2006,0.008073941458333333,0.1770011615,0.8149248836666666,0.8987632008333334,12
308,China,RUSSIA,2008,0.007834350649999999,0.38954488434999995,0.6026207385,0.8521750105000001,20
309,China,RUSSIA,2010,0.004977754721428571,0.43906890600000004,0.5559533353571429,0.7804023035714286,14
310,China,RUSSIA,2013,0.0031610338571428573,0.8987560842857143,0.09808290428571428,0.8987560842857143,7
311,China,RUSSIA,2015,0.00286928015,0.9425049400000001,0.054625805,0.9425049400000001,2
312,China,RUSSIA,2019,0.01543514909090909,0.23685280063636363,0.7477120514545454,0.9101360672727273,22
313,China,US,1995,0.0132714799125,0.07018457512500001,0.91654395,0.91654395,8
314,China,US,1998,0.00789599647111111,0.4587011224444445,0.5334028922222223,0.7089683788888889,9
315,China,US,2000,0.4787342391855555,0.1652092331111111,0.35605654333333336,0.7990241433333334,9
316,China,US,2002,0.0018482691499999999,0.4080871683333333,0.5900645433333334,0.7822057333333333,6
317,China,US,2004,0.06019352517571429,0.3612172252857143,0.57858927,0.7641580385714286,7
318,China,US,2006,0.06878212325875001,0.17607978362499999,0.7551380974999999,0.77348351875,8
319,China,US,2008,0.1653022786,0.5136542276,0.32104351200000003,0.8614222659999999,5
320,China,US,2010,0.15385256609833334,0.34924032466666666,0.4969071483333334,0.72594974,6
321,Colombia,CHINA,2015,0.020898642,0.04599923,0.93310213,0.93310213,1
322,Colombia,EU,2003,0.002016852,0.24291398,0.7550692,0.7550692,1
323,Colombia,NATO,2015,0.0010725522,0.891113,0.107814446,0.891113,1
324,Colombia,NATO,2019,0.00125011934,0.734532824,0.26421706,0.734532824,5
325,Colombia,RUSSIA,2015,0.017938212,0.0774599,0.90460193,0.90460193,1
326,Colombia,US,2003,0.012337762,0.39572328,0.591939,0.591939,1
327,Colombia,US,2015,0.00197782023,0.4547667135,0.543255465,0.89761935,2
328,Colombia,US,2019,0.0076026646,0.022494974,0.9699024,0.9699024,1
